x,y,conc
527100,187600,23.24313
527120,187600,23.22497
527140,187600,23.24438
526960,187580,23.60506
526980,187580,23.17275
527000,187580,22.61502
527020,187580,22.35637
527040,187580,22.25047
527060,187580,22.11295
527080,187580,22.00756
527100,187580,21.94974
527120,187580,21.94485
527140,187580,21.98402
527160,187580,22.12106
527180,187580,22.48066
527520,187580,22.838
527540,187580,22.50172
527560,187580,22.27069
527580,187580,22.21789
527600,187580,22.51002
526900,187560,23.31738
526920,187560,22.59138
526940,187560,22.26121
526960,187560,22.0819
526980,187560,21.95303
527000,187560,21.85091
527020,187560,21.77588
527040,187560,21.72419
527060,187560,21.68273
527080,187560,21.65113
527100,187560,21.63969
527120,187560,21.66021
527140,187560,21.72635
527160,187560,21.97871
527180,187560,22.14315
527200,187560,22.43427
527220,187560,22.03891
527240,187560,22.43475
527260,187560,22.47967
527280,187560,23.19846
527400,187560,23.30621
527420,187560,22.94335
527440,187560,22.53912
527460,187560,22.30007
527480,187560,22.15014
527500,187560,21.99743
527520,187560,21.85778
527540,187560,21.76432
527560,187560,21.71423
527580,187560,21.71419
527600,187560,21.78753
527620,187560,21.97294
527640,187560,22.46651
526860,187540,23.44392
526880,187540,22.59813
526900,187540,22.20518
526920,187540,21.97461
526940,187540,21.82486
526960,187540,21.72538
526980,187540,21.65458
527000,187540,21.6016
527020,187540,21.56218
527040,187540,21.53395
527060,187540,21.5146
527080,187540,21.50618
527100,187540,21.52017
527120,187540,21.57853
527140,187540,21.98028
527160,187540,21.72916
527180,187540,21.74714
527200,187540,21.78006
527220,187540,21.72285
527240,187540,21.88406
527260,187540,21.88142
527280,187540,22.03272
527300,187540,22.12915
527320,187540,22.06311
527340,187540,22.03454
527360,187540,22.02019
527380,187540,21.98453
527400,187540,21.90613
527420,187540,21.82539
527440,187540,21.75228
527460,187540,21.69202
527480,187540,21.64022
527500,187540,21.59102
527520,187540,21.54731
527540,187540,21.51419
527560,187540,21.49872
527580,187540,21.50477
527600,187540,21.54009
527620,187540,21.61693
527640,187540,21.76399
527660,187540,22.08816
526820,187520,25.3293
526840,187520,23.4065
526860,187520,22.52153
526880,187520,22.10776
526900,187520,21.87939
526920,187520,21.73526
526940,187520,21.63756
526960,187520,21.56905
526980,187520,21.52015
527000,187520,21.4849
527020,187520,21.45989
527040,187520,21.44366
527060,187520,21.4352
527080,187520,21.44424
527100,187520,21.52812
527120,187520,21.87931
527140,187520,21.77889
527160,187520,22.14975
527180,187520,22.02541
527200,187520,21.68439
527220,187520,21.6499
527240,187520,21.69226
527260,187520,21.7071
527280,187520,21.98537
527300,187520,21.75752
527320,187520,21.65805
527340,187520,21.61631
527360,187520,21.59862
527380,187520,21.57815
527400,187520,21.55154
527420,187520,21.5216
527440,187520,21.4921
527460,187520,21.46568
527480,187520,21.44188
527500,187520,21.41986
527520,187520,21.4018
527540,187520,21.38865
527560,187520,21.38504
527580,187520,21.39235
527600,187520,21.41431
527620,187520,21.45549
527640,187520,21.52502
527660,187520,21.64142
527680,187520,21.81907
527700,187520,22.02836
527720,187520,22.28532
527740,187520,22.52438
527760,187520,23.01116
527780,187520,23.12303
526800,187500,24.69521
526820,187500,23.08239
526840,187500,22.45403
526860,187500,22.08795
526880,187500,21.86969
526900,187500,21.7155
526920,187500,21.60927
526940,187500,21.53658
526960,187500,21.48508
526980,187500,21.44896
527000,187500,21.42425
527020,187500,21.40912
527040,187500,21.39992
527060,187500,21.39947
527080,187500,21.42329
527100,187500,21.91821
527120,187500,21.56158
527140,187500,21.5342
527160,187500,21.7759
527180,187500,21.6
527200,187500,21.58101
527220,187500,21.56664
527240,187500,21.59169
527260,187500,21.62347
527280,187500,21.93803
527300,187500,21.66218
527320,187500,21.49977
527340,187500,21.44628
527360,187500,21.42705
527380,187500,21.41139
527400,187500,21.39625
527420,187500,21.38078
527440,187500,21.36521
527460,187500,21.35118
527480,187500,21.3391
527500,187500,21.32799
527520,187500,21.32025
527540,187500,21.31499
527560,187500,21.31637
527580,187500,21.32356
527600,187500,21.33907
527620,187500,21.36443
527640,187500,21.40221
527660,187500,21.45491
527680,187500,21.52041
527700,187500,21.59393
527720,187500,21.67153
527740,187500,21.74834
527760,187500,21.82202
527780,187500,21.88197
527800,187500,21.95594
527820,187500,22.05025
527840,187500,22.16512
527860,187500,22.29215
527880,187500,22.44823
527900,187500,22.65332
527920,187500,22.77901
527940,187500,23.19639
527960,187500,23.52186
527980,187500,24.75556
528000,187500,26.85834
526780,187480,24.20465
526800,187480,23.11998
526820,187480,22.39356
526840,187480,22.11638
526860,187480,21.87433
526880,187480,21.77826
526900,187480,21.63484
526920,187480,21.54646
526940,187480,21.48705
526960,187480,21.446
526980,187480,21.42237
527000,187480,21.40505
527020,187480,21.40648
527040,187480,21.401
527060,187480,21.40905
527080,187480,21.47608
527100,187480,21.63854
527120,187480,21.42151
527140,187480,21.41112
527160,187480,21.46328
527180,187480,21.88484
527200,187480,21.50031
527220,187480,21.48526
527240,187480,21.77279
