x,y,conc
527100,187600,34.76974
527120,187600,34.71376
527140,187600,34.77085
526960,187580,35.85131
526980,187580,34.57178
527000,187580,32.93346
527020,187580,32.17867
527040,187580,31.87841
527060,187580,31.46936
527080,187580,31.15426
527100,187580,30.98368
527120,187580,30.96989
527140,187580,31.08572
527160,187580,31.49421
527180,187580,32.55729
527520,187580,33.49038
527540,187580,32.48436
527560,187580,31.80185
527580,187580,31.64117
527600,187580,32.48462
526900,187560,35.0225
526920,187560,32.881
526940,187560,31.91005
526960,187560,31.38224
526980,187560,31.00301
527000,187560,30.70317
527020,187560,30.48292
527040,187560,30.33107
527060,187560,30.20721
527080,187560,30.11293
527100,187560,30.07942
527120,187560,30.14642
527140,187560,30.35077
527160,187560,31.07653
527180,187560,31.55163
527200,187560,32.39957
527220,187560,31.24592
527240,187560,32.40067
527260,187560,32.52373
527280,187560,34.61738
527400,187560,34.87639
527420,187560,33.82521
527440,187560,32.60915
527460,187560,31.90424
527480,187560,31.46318
527500,187560,31.0158
527520,187560,30.60416
527540,187560,30.32607
527560,187560,30.17409
527580,187560,30.1675
527600,187560,30.37314
527620,187560,30.90319
527640,187560,32.32974
526860,187540,35.46376
526880,187540,32.9283
526900,187540,31.76137
526920,187540,31.07915
526940,187540,30.63609
526960,187540,30.34105
526980,187540,30.13093
527000,187540,29.97357
527020,187540,29.85589
527040,187540,29.77135
527060,187540,29.71242
527080,187540,29.68749
527100,187540,29.73103
527120,187540,29.90513
527140,187540,31.07349
527160,187540,30.38332
527180,187540,30.39331
527200,187540,30.48859
527220,187540,30.32567
527240,187540,30.80452
527260,187540,30.81169
527280,187540,31.2556
527300,187540,31.47492
527320,187540,31.26032
527340,187540,31.16138
527360,187540,31.10989
527380,187540,30.99916
527400,187540,30.76539
527420,187540,30.52498
527440,187540,30.30569
527460,187540,30.12521
527480,187540,29.97034
527500,187540,29.82313
527520,187540,29.69023
527540,187540,29.58816
527560,187540,29.53716
527580,187540,29.54881
527600,187540,29.64503
527620,187540,29.86086
