x,y,conc
527100,187600,3.734852
527120,187600,3.729277
527140,187600,3.738396
526960,187580,3.857295
526980,187580,3.696961
527000,187580,3.495635
527020,187580,3.40607
527040,187580,3.373646
527060,187580,3.325114
527080,187580,3.288372
527100,187580,3.269598
527120,187580,3.269907
527140,187580,3.286012
527160,187580,3.338847
527180,187580,3.47204
527520,187580,3.629435
527540,187580,3.504124
527560,187580,3.422765
527580,187580,3.406858
527600,187580,3.516222
526900,187560,3.743298
526920,187560,3.478967
526940,187560,3.363442
526960,187560,3.302435
526980,187560,3.259423
527000,187560,3.226067
527020,187560,3.202216
527040,187560,3.186371
527060,187560,3.17364
527080,187560,3.16472
527100,187560,3.162995
527120,187560,3.174067
527140,187560,3.201745
527160,187560,3.286146
527180,187560,3.343935
527200,187560,3.446126
527220,187560,3.316629
527240,187560,3.455494
527260,187560,3.475618
527280,187560,3.736617
527400,187560,3.782905
527420,187560,3.659701
527440,187560,3.504748
527460,187560,3.418711
527480,187560,3.366161
527500,187560,3.31325
527520,187560,3.267465
527540,187560,3.238003
527560,187560,3.22372
527580,187560,3.227034
527600,187560,3.256131
527620,187560,3.325109
527640,187560,3.50766
526860,187540,3.802561
526880,187540,3.480032
526900,187540,3.34033
526920,187540,3.26119
526940,187540,3.211146
526960,187540,3.178754
526980,187540,3.156255
527000,187540,3.139958
527020,187540,3.128255
527040,187540,3.120368
527060,187540,3.115596
527080,187540,3.115232
527100,187540,3.123215
527120,187540,3.146104
527140,187540,3.28172
527160,187540,3.213003
527180,187540,3.209594
527200,187540,3.223616
527220,187540,3.20865
527240,187540,3.268586
527260,187540,3.27573
527280,187540,3.332034
527300,187540,3.34961
527320,187540,3.324118
527340,187540,3.312301
527360,187540,3.307479
527380,187540,3.296439
527400,187540,3.271345
527420,187540,3.245225
527440,187540,3.221184
527460,187540,3.201394
527480,187540,3.184573
527500,187540,3.168679
527520,187540,3.157151
527540,187540,3.149343
527560,187540,3.147489
527580,187540,3.153121
527600,187540,3.168895
527620,187540,3.199175
527640,187540,3.254495
527660,187540,3.373976
526820,187520,4.43861
526840,187520,3.779761
526860,187520,3.451065
526880,187520,3.304457
526900,187520,3.226605
526920,187520,3.178442
526940,187520,3.146701
526960,187520,3.12513
526980,187520,3.110222
527000,187520,3.099942
527020,187520,3.093143
527040,187520,3.089315
527060,187520,3.088516
527080,187520,3.09541
527100,187520,3.141486
527120,187520,3.243726
527140,187520,3.211034
527160,187520,3.337227
527180,187520,3.297999
527200,187520,3.198844
527220,187520,3.180068
527240,187520,3.205681
527260,187520,3.200426
527280,187520,3.292314
527300,187520,3.216449
527320,187520,3.182897
527340,187520,3.16729
527360,187520,3.161232
527380,187520,3.155067
527400,187520,3.147249
527420,187520,3.138305
527440,187520,3.129472
527460,187520,3.121615
527480,187520,3.114622
527500,187520,3.10816
527520,187520,3.10569
527540,187520,3.104861
527560,187520,3.107213
527580,187520,3.113334
527600,187520,3.124511
527620,187520,3.142318
527640,187520,3.170071
527660,187520,3.214442
527680,187520,3.280895
527700,187520,3.359392
527720,187520,3.456256
527740,187520,3.547899
527760,187520,3.734692
527780,187520,3.781253
526800,187500,4.131288
526820,187500,3.597734
526840,187500,3.407495
526860,187500,3.290802
526880,187500,3.224444
526900,187500,3.171522
526920,187500,3.135944
526940,187500,3.112854
526960,187500,3.097105
526980,187500,3.086669
527000,187500,3.079762
527020,187500,3.076415
527040,187500,3.07494
527060,187500,3.07687
527080,187500,3.087986
527100,187500,3.253949
527120,187500,3.144744
527140,187500,3.131835
527160,187500,3.210513
527180,187500,3.155066
527200,187500,3.159681
527220,187500,3.152552
527240,187500,3.164734
527260,187500,3.168413
527280,187500,3.272403
527300,187500,3.195421
527320,187500,3.130164
527340,187500,3.108661
527360,187500,3.101945
527380,187500,3.097252
527400,187500,3.093131
527420,187500,3.088931
527440,187500,3.084825
527460,187500,3.081196
527480,187500,3.078124
527500,187500,3.075441
527520,187500,3.076526
527540,187500,3.078517
527560,187500,3.082588
527580,187500,3.088709
527600,187500,3.097631
527620,187500,3.109981
527640,187500,3.126701
527660,187500,3.148601
527680,187500,3.175051
527700,187500,3.204415
527720,187500,3.235349
527740,187500,3.266013
527760,187500,3.29574
527780,187500,3.32069
527800,187500,3.350688
527820,187500,3.387543
527840,187500,3.432702
527860,187500,3.482574
527880,187500,3.543731
527900,187500,3.624003
527920,187500,3.676064
527940,187500,3.843324
527960,187500,3.963476
527980,187500,4.484317
528000,187500,5.427299
526780,187480,3.942086
526800,187480,3.596239
526820,187480,3.368786
526840,187480,3.311344
526860,187480,3.217029
526880,187480,3.203103
526900,187480,3.144285
526920,187480,3.116509
526940,187480,3.098125
526960,187480,3.085543
526980,187480,3.080254
527000,187480,3.074356
527020,187480,3.079027
527040,187480,3.076585
527060,187480,3.081902
527080,187480,3.109204
527100,187480,3.161265
527120,187480,3.090614
527140,187480,3.087517
527160,187480,3.114431
527180,187480,3.25162
527200,187480,3.131321
527220,187480,3.121797
527240,187480,3.217211
527260,187480,3.209152
527280,187480,3.139371
527300,187480,3.136408
527320,187480,3.096296
527340,187480,3.079299
527360,187480,3.072502
527380,187480,3.068292
527400,187480,3.065455
527420,187480,3.063028
527440,187480,3.060822
527460,187480,3.059116
527480,187480,3.057939
527500,187480,3.057079
527520,187480,3.059863
527540,187480,3.063195
527560,187480,3.068052
527580,187480,3.074059
527600,187480,3.08173
527620,187480,3.091269
527640,187480,3.10292
527660,187480,3.116644
527680,187480,3.131809
527700,187480,3.148166
527720,187480,3.165195
527740,187480,3.182095
527760,187480,3.19829
527780,187480,3.214175
527800,187480,3.230599
527820,187480,3.250716
527840,187480,3.271643
527860,187480,3.292933
527880,187480,3.317013
527900,187480,3.341572
527920,187480,3.366177
527940,187480,3.398378
527960,187480,3.559524
527980,187480,3.475446
528000,187480,3.491596
528020,187480,3.518543
528040,187480,3.574451
528060,187480,3.619401
528080,187480,3.648465
528100,187480,3.720423
528120,187480,3.75037
528140,187480,3.810125
528160,187480,3.990349
528180,187480,4.038229
526760,187460,3.913714
526780,187460,3.57639
526800,187460,3.379142
526820,187460,3.309631
526840,187460,3.255427
526860,187460,3.227291
526880,187460,3.148534
526900,187460,3.188635
526920,187460,3.14001
526940,187460,3.096667
526960,187460,3.091013
526980,187460,3.096204
527000,187460,3.089264
527020,187460,3.116998
527040,187460,3.106755
527060,187460,3.114423
527080,187460,3.193601
527100,187460,3.128969
527120,187460,3.076199
527140,187460,3.076357
527160,187460,3.092453
527180,187460,3.115726
527200,187460,3.139959
527220,187460,3.230095
527240,187460,3.115695
527260,187460,3.106883
527280,187460,3.110356
527300,187460,3.124526
527320,187460,3.087695
527340,187460,3.063016
527360,187460,3.055569
527380,187460,3.051576
527400,187460,3.049317
527420,187460,3.047693
527440,187460,3.046432
527460,187460,3.045733
527480,187460,3.045569
527500,187460,3.045681
527520,187460,3.049358
527540,187460,3.05339
527560,187460,3.058676
527580,187460,3.06455
527600,187460,3.071465
527620,187460,3.079466
527640,187460,3.088614
527660,187460,3.098775
527680,187460,3.109468
527700,187460,3.120873
527720,187460,3.132706
527740,187460,3.144762
527760,187460,3.156636
527780,187460,3.168703
527800,187460,3.181056
527820,187460,3.196288
527840,187460,3.211244
527860,187460,3.225517
527880,187460,3.241514
527900,187460,3.258038
527920,187460,3.275816
527940,187460,3.305218
527960,187460,3.380628
527980,187460,3.369044
528000,187460,3.365352
528020,187460,3.374474
528040,187460,3.391493
528060,187460,3.410661
528080,187460,3.429919
528100,187460,3.450901
528120,187460,3.471846
528140,187460,3.49834
528160,187460,3.532008
528180,187460,3.571611
