x,y,conc
527100,187600,15.64816
527120,187600,15.64173
527140,187600,15.65226
526960,187580,15.78844
526980,187580,15.60433
527000,187580,15.36788
527020,187580,15.26074
527040,187580,15.22165
527060,187580,15.16282
527080,187580,15.11804
527100,187580,15.09507
527120,187580,15.09545
527140,187580,15.11516
527160,187580,15.1795
527180,187580,15.33978
527520,187580,15.52569
527540,187580,15.37797
527560,187580,15.2808
527580,187580,15.26169
527600,187580,15.39234
526900,187560,15.65791
526920,187560,15.34804
526940,187560,15.20931
526960,187560,15.13521
526980,187560,15.08261
527000,187560,15.04161
527020,187560,15.01218
527040,187560,14.99258
527060,187560,14.9768
527080,187560,14.96573
527100,187560,14.96359
527120,187560,14.97733
527140,187560,15.0116
527160,187560,15.11532
527180,187560,15.18568
527200,187560,15.30881
527220,187560,15.1525
527240,187560,15.32002
527260,187560,15.34404
527280,187560,15.6502
527400,187560,15.70347
527420,187560,15.56102
527440,187560,15.37872
527460,187560,15.27594
527480,187560,15.2126
527500,187560,15.14839
527520,187560,15.09246
527540,187560,15.0563
527560,187560,15.03872
527580,187560,15.0428
527600,187560,15.07857
527620,187560,15.16282
527640,187560,15.38217
526860,187540,15.726
526880,187540,15.34931
526900,187540,15.1813
526920,187540,15.08477
526940,187540,15.02321
526960,187540,14.98314
526980,187540,14.95521
527000,187540,14.93493
527020,187540,14.92033
527040,187540,14.91048
527060,187540,14.90452
527080,187540,14.90406
527100,187540,14.91404
527120,187540,14.94258
527140,187540,15.10991
527160,187540,15.0255
527180,187540,15.02129
527200,187540,15.03859
527220,187540,15.02013
527240,187540,15.09384
527260,187540,15.10258
527280,187540,15.17123
527300,187540,15.19256
527320,187540,15.16161
527340,187540,15.14723
527360,187540,15.14136
527380,187540,15.12789
527400,187540,15.09721
527420,187540,15.06518
527440,187540,15.03559
527460,187540,15.01116
527480,187540,14.99035
527500,187540,14.97064
527520,187540,14.95632
527540,187540,14.94661
527560,187540,14.9443
527580,187540,14.95131
527600,187540,14.97091
527620,187540,15.00842
527640,187540,15.07656
527660,187540,15.22204
526820,187520,16.42724
526840,187520,15.69986
526860,187520,15.31472
526880,187520,15.13767
526900,187520,15.04227
526920,187520,14.98275
526940,187520,14.94332
526960,187520,14.91643
526980,187520,14.8978
527000,187520,14.88493
527020,187520,14.87641
527040,187520,14.87161
527060,187520,14.8706
527080,187520,14.87925
527100,187520,14.93683
527120,187520,15.06333
527140,187520,15.02307
527160,187520,15.17754
527180,187520,15.1298
527200,187520,15.00801
527220,187520,14.98477
527240,187520,15.01646
527260,187520,15.00997
527280,187520,15.12286
527300,187520,15.02975
527320,187520,14.98828
527340,187520,14.96892
527360,187520,14.9614
527380,187520,14.95373
527400,187520,14.94401
527420,187520,14.93287
527440,187520,14.92185
527460,187520,14.91204
527480,187520,14.9033
527500,187520,14.89522
527520,187520,14.89213
527540,187520,14.89109
527560,187520,14.89403
527580,187520,14.90169
527600,187520,14.91566
527620,187520,14.93787
527640,187520,14.97237
527660,187520,15.02728
527680,187520,15.1089
527700,187520,15.20441
527720,187520,15.32093
527740,187520,15.42984
527760,187520,15.64798
527780,187520,15.70157
526800,187500,16.09494
526820,187500,15.48854
526840,187500,15.26245
526860,187500,15.12101
526880,187500,15.03961
526900,187500,14.97417
526920,187500,14.92992
526940,187500,14.90109
526960,187500,14.88137
526980,187500,14.86829
527000,187500,14.85961
527020,187500,14.85541
527040,187500,14.85355
527060,187500,14.85598
527080,187500,14.86994
527100,187500,15.07589
527120,187500,14.94089
527140,187500,14.9248
527160,187500,15.02243
527180,187500,14.95373
527200,187500,14.95947
527220,187500,14.9506
527240,187500,14.96575
527260,187500,14.97031
527280,187500,15.09851
527300,187500,15.00378
527320,187500,14.92271
527340,187500,14.89585
527360,187500,14.88744
527380,187500,14.88156
527400,187500,14.87639
527420,187500,14.87112
527440,187500,14.86597
527460,187500,14.86141
527480,187500,14.85756
527500,187500,14.85418
527520,187500,14.85555
527540,187500,14.85805
527560,187500,14.86316
527580,187500,14.87085
527600,187500,14.88203
527620,187500,14.8975
527640,187500,14.91839
527660,187500,14.94569
527680,187500,14.97855
527700,187500,15.0149
527720,187500,15.05303
527740,187500,15.09068
527760,187500,15.12704
527780,187500,15.15744
527800,187500,15.19386
527820,187500,15.23842
527840,187500,15.29273
527860,187500,15.35233
527880,187500,15.42491
527900,187500,15.51933
527920,187500,15.58006
527940,187500,15.77254
527960,187500,15.90841
527980,187500,16.47568
528000,187500,17.4234
526780,187480,15.88437
526800,187480,15.48678
526820,187480,15.21577
526840,187480,15.14606
526860,187480,15.03047
526880,187480,15.01328
526900,187480,14.94032
526920,187480,14.90566
526940,187480,14.88265
526960,187480,14.86687
526980,187480,14.86023
527000,187480,14.85282
527020,187480,14.85869
527040,187480,14.85562
527060,187480,14.8623
527080,187480,14.89653
527100,187480,14.96144
527120,187480,14.87324
527140,187480,14.86935
527160,187480,14.90306
527180,187480,15.07303
527200,187480,14.92416
527220,187480,14.91227
527240,187480,15.03069
527260,187480,15.02075
527280,187480,14.93419
527300,187480,14.9305
527320,187480,14.88036
527340,187480,14.85903
527360,187480,14.85049
527380,187480,14.84519
527400,187480,14.84162
527420,187480,14.83857
527440,187480,14.83579
527460,187480,14.83364
527480,187480,14.83216
527500,187480,14.83108
527520,187480,14.83458
527540,187480,14.83878
527560,187480,14.84489
527580,187480,14.85245
527600,187480,14.86209
527620,187480,14.87406
527640,187480,14.88866
527660,187480,14.90583
527680,187480,14.92477
527700,187480,14.94515
527720,187480,14.96632
527740,187480,14.98728
527760,187480,15.00733
527780,187480,15.02695
527800,187480,15.04719
527820,187480,15.07192
527840,187480,15.09758
527860,187480,15.12361
527880,187480,15.15297
527900,187480,15.18281
527920,187480,15.21262
527940,187480,15.25148
527960,187480,15.44357
527980,187480,15.34384
528000,187480,15.36308
528020,187480,15.39509
528040,187480,15.46116
528060,187480,15.51394
528080,187480,15.54792
528100,187480,15.6315
528120,187480,15.66606
528140,187480,15.73465
528160,187480,15.93853
528180,187480,15.99196
526760,187460,15.85238
526780,187460,15.46344
526800,187460,15.22828
526820,187460,15.14398
526840,187460,15.0777
526860,187460,15.04311
526880,187460,14.94561
526900,187460,14.99538
526920,187460,14.93499
526940,187460,14.88083
526960,187460,14.87374
526980,187460,14.88025
527000,187460,14.87154
527020,187460,14.90627
527040,187460,14.89346
527060,187460,14.90305
527080,187460,15.00153
527100,187460,14.92122
527120,187460,14.85514
527140,187460,14.85534
527160,187460,14.87554
527180,187460,14.90468
527200,187460,14.93493
527220,187460,15.04657
527240,187460,14.90464
527260,187460,14.89362
527280,187460,14.89797
527300,187460,14.91568
527320,187460,14.86957
527340,187460,14.83855
527360,187460,14.82917
527380,187460,14.82414
527400,187460,14.82129
527420,187460,14.81924
527440,187460,14.81765
527460,187460,14.81677
527480,187460,14.81656
527500,187460,14.8167
527520,187460,14.82134
527540,187460,14.82643
527560,187460,14.83309
527580,187460,14.84049
527600,187460,14.84919
527620,187460,14.85924
527640,187460,14.87073
527660,187460,14.88347
527680,187460,14.89686
527700,187460,14.91111
527720,187460,14.92589
527740,187460,14.94091
527760,187460,14.95568
527780,187460,14.97067
527800,187460,14.986
527820,187460,15.00485
527840,187460,15.02333
527860,187460,15.04093
527880,187460,15.06062
527900,187460,15.08091
527920,187460,15.10269
527940,187460,15.1386
527960,187460,15.23008
527980,187460,15.21608
528000,187460,15.21162
528020,187460,15.22265
528040,187460,15.24318
528060,187460,15.26626
528080,187460,15.28939
528100,187460,15.31452
528120,187460,15.33954
528140,187460,15.3711
528160,187460,15.41105
528180,187460,15.45782
528200,187460,15.63316
528220,187460,15.59156
528240,187460,15.62298
528260,187460,15.69739
528280,187460,15.85318
528300,187460,16.26957
526740,187440,15.77859
526760,187440,15.34656
526780,187440,15.17004
526800,187440,15.13838
526820,187440,15.00432
526840,187440,14.97317
526860,187440,14.9232
526880,187440,14.89671
526900,187440,14.88098
526920,187440,14.92702
526940,187440,14.95253
526960,187440,14.90405
526980,187440,14.89254
527000,187440,14.86862
527020,187440,14.87543
527040,187440,14.93482
527060,187440,14.92455
527080,187440,14.88017
527100,187440,14.86409
527120,187440,14.86467
527140,187440,14.87782
527160,187440,14.98903
527180,187440,14.99706
527200,187440,15.03539
527220,187440,14.93018
527240,187440,14.86965
527260,187440,14.85312
527280,187440,14.88723
527300,187440,14.98865
527320,187440,14.85056
527340,187440,14.82503
527360,187440,14.81603
527380,187440,14.81126
527400,187440,14.80885
527420,187440,14.80737
527440,187440,14.80644
527460,187440,14.80628
527480,187440,14.80682
527500,187440,14.80764
527520,187440,14.81296
527540,187440,14.81853
527560,187440,14.82542
527580,187440,14.8328
527600,187440,14.84091
527620,187440,14.84987
527640,187440,14.85972
527660,187440,14.87028
527680,187440,14.88108
527700,187440,14.89253
527720,187440,14.90449
527740,187440,14.91661
527760,187440,14.92893
527780,187440,14.94169
527800,187440,14.9547
527820,187440,14.97105
527840,187440,14.98666
