x,y,conc
527100,187600,9.402716
527120,187600,9.398474
527140,187600,9.403721
526960,187580,9.48081
526980,187580,9.383275
527000,187580,9.258532
527020,187580,9.202315
527040,187580,9.184387
527060,187580,9.150801
527080,187580,9.124769
527100,187580,9.111721
527120,187580,9.111905
527140,187580,9.122756
527160,187580,9.159562
527180,187580,9.247581
527520,187580,9.321688
527540,187580,9.237529
527560,187580,9.18393
527580,187580,9.172147
527600,187580,9.239538
526900,187560,9.415421
526920,187560,9.251505
526940,187560,9.177446
526960,187560,9.13741
526980,187560,9.108826
527000,187560,9.08648
527020,187560,9.070438
527040,187560,9.059585
527060,187560,9.050372
527080,187560,9.043888
527100,187560,9.042664
527120,187560,9.052011
527140,187560,9.073304
527160,187560,9.123542
527180,187560,9.158648
527200,187560,9.221022
527220,187560,9.145029
527240,187560,9.23092
527260,187560,9.244723
527280,187560,9.402164
527400,187560,9.417791
527420,187560,9.348524
527440,187560,9.24334
527460,187560,9.187062
527480,187560,9.152515
527500,187560,9.117693
527520,187560,9.086527
527540,187560,9.065656
527560,187560,9.054688
527580,187560,9.055326
527600,187560,9.072824
527620,187560,9.115884
527640,187560,9.22963
526860,187540,9.450325
526880,187540,9.253961
526900,187540,9.164893
526920,187540,9.112954
526940,187540,9.079351
526960,187540,9.057137
526980,187540,9.041446
527000,187540,9.029862
527020,187540,9.021396
527040,187540,9.015497
527060,187540,9.011733
527080,187540,9.011481
527100,187540,9.017764
527120,187540,9.033854
527140,187540,9.118527
527160,187540,9.089256
527180,187540,9.074614
527200,187540,9.084137
527220,187540,9.076617
527240,187540,9.118005
527260,187540,9.128469
527280,187540,9.166097
527300,187540,9.1591
527320,187540,9.137766
527340,187540,9.12608
527360,187540,9.120735
527380,187540,9.11219
527400,187540,9.094981
527420,187540,9.076843
527440,187540,9.059646
527460,187540,9.045375
527480,187540,9.033169
527500,187540,9.021554
527520,187540,9.012536
527540,187540,9.005946
527560,187540,9.003306
527580,187540,9.005625
527600,187540,9.014665
527620,187540,9.033123
527640,187540,9.067613
527660,187540,9.142572
526820,187520,9.838362
526840,187520,9.439156
526860,187520,9.236914
526880,187520,9.143816
526900,187520,9.092436
526920,187520,9.059511
526940,187520,9.037358
526960,187520,9.021999
526980,187520,9.011154
527000,187520,9.003401
527020,187520,8.998089
527040,187520,8.994846
527060,187520,8.993937
527080,187520,8.999921
527100,187520,9.046357
527120,187520,9.09336
527140,187520,9.071391
527160,187520,9.148915
527180,187520,9.125031
527200,187520,9.07638
527220,187520,9.054472
527240,187520,9.080352
527260,187520,9.064131
527280,187520,9.117872
527300,187520,9.069011
527320,187520,9.044993
527340,187520,9.031057
527360,187520,9.024704
527380,187520,9.018916
527400,187520,9.012262
527420,187520,9.004962
527440,187520,8.997726
527460,187520,8.991324
527480,187520,8.985538
527500,187520,8.980081
527520,187520,8.977073
527540,187520,8.97513
527560,187520,8.975355
527580,187520,8.978081
527600,187520,8.984199
527620,187520,8.994649
527640,187520,9.011551
527660,187520,9.039185
527680,187520,9.080703
527700,187520,9.129628
527720,187520,9.18952
527740,187520,9.245526
527760,187520,9.358628
527780,187520,9.385793
526800,187500,9.684442
526820,187500,9.340091
526840,187500,9.215509
526860,187500,9.138275
526880,187500,9.097952
526900,187500,9.059016
526920,187500,9.032584
526940,187500,9.015788
